country;Life expectancy in years;Income (GDP per capita);population;continent
"Central African Republic";49.6;599;4900274;"Africa"
"Somalia";54.2;624;10787104;"Africa"
"Burundi";61.4;777;11178921;"Africa"
"Malawi";60.5;799;17215232;"Africa"
"Congo, Dem. Rep.";60.8;809;77266814;"Africa"
"Niger";61;943;19899120;"Africa"
"Liberia";63.2;958;4503438;"Africa"
"Eritrea";60.7;1129;5227791;"Africa"
"Mozambique";57.1;1176;27977863;"Africa"
"Guinea";59.1;1225;12608590;"Africa"
"Guinea-Bissau";55.6;1386;1844325;"Africa"
"North Korea";72.1;1390;25155317;"Asia"
"Madagascar";63.5;1400;24235390;"Africa"
"Togo";61.5;1433;7304578;"Africa"
"Comoros";68.1;1472;788474;"Africa"
"Ethiopia";65.2;1520;99390750;"Africa"
"Rwanda";65.9;1549;11609666;"Africa"
"Gambia";68.1;1644;1990924;"Africa"
"Burkina Faso";60.9;1654;18105570;"Africa"
"Uganda";61.3;1680;39032383;"Africa"
"Mali";60.2;1684;17599694;"Africa"
"Haiti";64.3;1710;10711067;"North America"
"Zimbabwe";59.3;1801;15602751;"Africa"
"Kiribati";63;1824;112423;"Australia"
"Benin";62.3;1830;10879829;"Africa"
"Afghanistan";53.8;1925;32526562;"Asia"
"Solomon Islands";64;2047;583591;"Australia"
"Sierra Leone";57.1;2085;6453184;"Africa"
"Timor-Leste";72.4;2086;1184765;"Australia"
"Chad";57.4;2191;14037472;"Africa"
"Senegal";65.3;2251;15129273;"Africa"
"Nepal";69.7;2352;28513700;"Asia"
"Papua New Guinea";60.9;2529;7619321;"Australia"
"Tanzania";64.1;2571;53470420;"Africa"
"Tajikistan";72.4;2582;8481855;"Asia"
"Lesotho";47.1;2598;2135022;"Africa"
"Cameroon";59.4;2897;23344179;"Africa"
"Kenya";65.1;2898;46050302;"Africa"
"Vanuatu";64.9;2912;264652;"Australia"
"Sao Tome and Principe";68;3003;190344;"Africa"
"South Sudan";56.1;3047;12339812;"Africa"
"Djibouti";63.8;3139;887861;"Africa"
